Club,Club Logo,City,Stadium
Atlanta United,https://cdn.sofifa.org/teams/2/light/112885.png,Atlanta,Mercedes-Benz Stadium
Chicago Fire,https://cdn.sofifa.org/teams/2/light/693.png,Chicago,SeatGeek Stadium
Colorado Rapids,https://cdn.sofifa.org/teams/2/light/694.png,Commerce City,Dick’s Sporting Goods Park
Columbus Crew SC,https://cdn.sofifa.org/teams/2/light/687.png,Columbus,MAPFRE Stadium
DC United,https://cdn.sofifa.org/teams/2/light/688.png,Washington DC,Audi Field
FC Dallas,https://cdn.sofifa.org/teams/2/light/695.png,Dallas,Toyota Stadium
Houston Dynamo,https://cdn.sofifa.org/teams/2/light/698.png,Houston,BBVA Compass Stadium
LA Galaxy,https://cdn.sofifa.org/teams/2/light/697.png,Los Angeles,Dignity Health Sports Park
Los Angeles FC,https://cdn.sofifa.org/teams/2/light/112996.png,Los Angeles,Banc of California Stadium
Minnesota United FC,https://cdn.sofifa.org/teams/2/light/111138.png,Minneapolis,Allianz Field
Montreal Impact,https://cdn.sofifa.org/teams/2/light/111139.png,Montreal,Saputo Stadium
New England Revolution,https://cdn.sofifa.org/teams/2/light/691.png,Foxborough,Gillette Stadium
New York City FC,https://cdn.sofifa.org/teams/2/light/112828.png,NewYork City,Yankee Stadium
New York Red Bulls,https://cdn.sofifa.org/teams/2/light/689.png,Harrison,Red Bull Arena
Orlando City SC,https://cdn.sofifa.org/teams/2/light/112606.png,Orlando,Orlando City Stadium
Philadelphia Union,https://cdn.sofifa.org/teams/2/light/112134.png,Chester,Talen Energy Stadium
Portland Timbers,https://cdn.sofifa.org/teams/2/light/111140.png,Portland,Providence Park
Real Salt Lake,https://cdn.sofifa.org/teams/2/light/111065.png,Sandy,Rio Tinto Stadium
San Jose Earthquakes,https://cdn.sofifa.org/teams/2/light/111928.png,San Jose,Avaya Stadium
Seattle Sounders FC,https://cdn.sofifa.org/teams/2/light/111144.png,Seattle,CenturyLink Field
Sporting Kansas City,https://cdn.sofifa.org/teams/2/light/696.png,Kansas City,Children’s Mercy Park
Toronto FC,https://cdn.sofifa.org/teams/2/light/111651.png,Toronto,BMO Field
Vancouver Whitecaps FC,https://cdn.sofifa.org/teams/2/light/101112.png,Vancouver,BC Place